"date","event","rating","viewers","show","year","month"
2017-01-30,"WWE RAW #1236",0,3615000,"raw",2017,1
2017-01-23,"WWE RAW #1235",0,3292000,"raw",2017,1
2017-01-16,"WWE RAW #1234",0,3270000,"raw",2017,1
2017-01-09,"WWE RAW #1233",0,2907000,"raw",2017,1
2017-01-02,"WWE RAW #1232",0,3047000,"raw",2017,1
2016-12-26,"WWE RAW #1231",0,2855000,"raw",2016,12
2016-12-19,"WWE RAW #1230",0,2955000,"raw",2016,12
2016-12-12,"WWE RAW #1229",0,2758000,"raw",2016,12
2016-12-05,"WWE RAW #1228",0,2976000,"raw",2016,12
2016-11-28,"WWE RAW #1227",0,3111000,"raw",2016,11
2016-11-21,"WWE RAW #1226",0,3002000,"raw",2016,11
2016-11-14,"WWE RAW #1225",0,2877000,"raw",2016,11
2016-11-07,"WWE RAW #1224",0,2767000,"raw",2016,11
2016-10-31,"WWE RAW #1223",0,2600000,"raw",2016,10
2016-10-24,"WWE RAW #1222",0,2819000,"raw",2016,10
2016-10-17,"WWE RAW #1221",0,3130000,"raw",2016,10
2016-10-10,"WWE RAW #1220",0,2760000,"raw",2016,10
2016-10-03,"WWE RAW #1219",0,2797000,"raw",2016,10
2016-09-26,"WWE RAW #1218",1.75,2478000,"raw",2016,9
2016-09-19,"WWE RAW #1217",1.97,2684000,"raw",2016,9
2016-09-12,"WWE RAW #1216",1.88,2690000,"raw",2016,9
2016-09-05,"WWE RAW #1215",2.11,3069000,"raw",2016,9
2016-08-29,"WWE RAW #1214",2.38,3413000,"raw",2016,8
2016-08-22,"WWE RAW #1213",2.34,3315000,"raw",2016,8
2016-08-15,"WWE RAW #1212",2.12,2915000,"raw",2016,8
2016-08-08,"WWE RAW #1211",2.05,2911000,"raw",2016,8
2016-08-01,"WWE RAW #1210",2.3,3314000,"raw",2016,8
2016-07-25,"WWE RAW #1209",2.36,3338000,"raw",2016,7
2016-07-18,"WWE RAW #1208",0,3133000,"raw",2016,7
2016-07-11,"WWE RAW #1207",0,3170000,"raw",2016,7
2016-07-04,"WWE RAW #1206",1.87,2658000,"raw",2016,7
2016-06-27,"WWE RAW #1205",2.21,3093000,"raw",2016,6
2016-06-20,"WWE RAW #1204",2.44,3467000,"raw",2016,6
2016-06-13,"WWE RAW #1203",2.03,2970000,"raw",2016,6
2016-06-06,"WWE RAW #1202",2.28,3255000,"raw",2016,6
2016-05-30,"WWE RAW #1201",0,3229000,"raw",2016,5
2016-05-23,"WWE RAW #1200",2.29,3268000,"raw",2016,5
2016-05-16,"WWE RAW #1199",0,3190000,"raw",2016,5
2016-05-09,"WWE RAW #1198",2.26,3238000,"raw",2016,5
2016-05-02,"WWE RAW #1197",2.35,3433000,"raw",2016,5
2016-04-25,"WWE RAW #1196",2.2,3128000,"raw",2016,4
2016-04-18,"WWE RAW #1195",2.32,3336000,"raw",2016,4
2016-04-11,"WWE RAW #1194",0,3529000,"raw",2016,4
2016-04-04,"WWE RAW #1193",2.93,4093000,"raw",2016,4
2016-03-28,"WWE RAW #1192",0,3764000,"raw",2016,3
2016-03-21,"WWE RAW #1191",0,3393000,"raw",2016,3
2016-03-14,"WWE RAW #1190",2.51,3457000,"raw",2016,3
2016-03-07,"WWE RAW #1189",2.59,3551000,"raw",2016,3
2016-02-29,"WWE RAW #1188",2.63,3724000,"raw",2016,2
2016-02-22,"WWE RAW #1187",2.73,3884000,"raw",2016,2
2016-02-15,"WWE RAW #1186",0,3477000,"raw",2016,2
2016-02-08,"WWE RAW #1185",2.65,3726000,"raw",2016,2
2016-02-01,"WWE RAW #1184",2.38,3383000,"raw",2016,2
2016-01-25,"WWE RAW #1183",2.93,4098000,"raw",2016,1
2016-01-18,"WWE RAW #1182",2.45,3496000,"raw",2016,1
2016-01-11,"WWE RAW #1181",2.36,3323000,"raw",2016,1
2016-01-04,"WWE RAW #1180",2.49,3575000,"raw",2016,1
2015-12-28,"WWE RAW #1179",2.47,3536000,"raw",2015,12
2015-12-21,"WWE RAW #1178 - 2015 Slammy Awards",2.33,3376000,"raw",2015,12
2015-12-14,"WWE RAW #1177",2.66,3885000,"raw",2015,12
2015-12-07,"WWE RAW #1176",2.15,3054000,"raw",2015,12
2015-11-30,"WWE RAW #1175",2.21,3168000,"raw",2015,11
2015-11-23,"WWE RAW #1174",2.16,2964000,"raw",2015,11
2015-11-16,"WWE RAW #1173",2.28,3293000,"raw",2015,11
2015-11-09,"WWE RAW #1172",2.23,3173000,"raw",2015,11
2015-11-02,"WWE RAW #1171",2.32,3248000,"raw",2015,11
2015-10-26,"WWE RAW #1170",2.46,3354000,"raw",2015,10
2015-10-19,"WWE RAW #1169",2.21,3357000,"raw",2015,10
2015-10-12,"WWE RAW #1168",2.33,3285000,"raw",2015,10
2015-10-05,"WWE RAW #1167",2.35,3378000,"raw",2015,10
2015-09-28,"WWE RAW #1166",2.33,3330000,"raw",2015,9
2015-09-21,"WWE RAW #1165",2.47,3349000,"raw",2015,9
2015-09-14,"WWE RAW #1164",2.42,3397000,"raw",2015,9
2015-09-07,"WWE RAW #1163",2.44,3894000,"raw",2015,9
2015-08-31,"WWE RAW #1162",2.73,3828000,"raw",2015,8
2015-08-24,"WWE RAW #1161",2.72,3721000,"raw",2015,8
2015-08-17,"WWE RAW #1160",2.73,3777000,"raw",2015,8
2015-08-10,"WWE RAW #1159",2.71,3838000,"raw",2015,8
2015-08-03,"WWE RAW #1158",2.65,3701000,"raw",2015,8
2015-07-27,"WWE RAW #1157",2.64,3671000,"raw",2015,7
2015-07-20,"WWE RAW #1156",2.8,3804000,"raw",2015,7
2015-07-13,"WWE RAW #1155",2.52,3531000,"raw",2015,7
2015-07-06,"WWE RAW #1154",2.65,3647000,"raw",2015,7
2015-06-29,"WWE RAW #1153",2.51,3463000,"raw",2015,6
2015-06-22,"WWE RAW #1152",2.63,3671000,"raw",2015,6
